object obsid mode pc1 pc1_err pc2 pc2_err hue hue_err hardness hardness_err
4u_1705_m44 93060-01-17-00 event 0.291602621939 0.12479114239 0.0336036182281 0.0063931670523 271.477680954 11.3575872575 0.66153 0.00121
4u_1705_m44 93060-01-59-00 event 47.1943122312 13.9223322212 0.118757659368 0.011955218598 164.7424494 8.32357041768 1.3249 0.00474
4u_1705_m44 93060-01-92-00 event 0.231189314572 0.0856906864431 0.599580025769 0.160595626055 320.356500752 11.88161006 0.6544 0.00096
4u_1705_m44 94060-01-14-00 event 29.2615753293 7.17757060126 0.187192425008 0.0158953338714 160.359657101 8.30293462866 1.37701 0.00357
4U_1728_34 50023-01-01-00 event 119.902530488 37.6141708886 0.0499998241567 0.00469848948482 168.930255305 6.40014861659 1.2486 0.00249
4U_1728_34 50023-01-26-00 event 63.6254661601 17.4129568304 0.0620393140085 0.00610399283003 171.95592764 7.26917047146 1.25666 0.00314
4U_1728_34 50029-23-02-03 event 108.808569671 35.530714894 0.0328008635731 0.00293986940723 174.549399089 7.00643028717 1.16067 0.00165
4U_1728_34 50030-03-03-00 event 78.508397678 12.9252658515 0.0944507192875 0.00451309210107 163.798959329 3.63192265735 1.26685 0.00193
4U_1728_34 50030-03-03-01 event 42.5825148524 9.68469187196 0.117823498293 0.00999579706695 166.009488864 6.95130850847 1.28529 0.00345
4U_1728_34 50030-03-05-00 event 59.8299002272 12.1481870924 0.0984558168833 0.00687900756024 165.603260013 5.25696015513 1.30269 0.00259
4U_1728_34 50030-03-10-00 event 122.159666554 31.1781727829 0.0531513355838 0.0033652519031 168.039743739 4.99579894559 1.21532 0.00191
4U_1728_34 91023-01-06-00 event 79.0686388372 20.9892753513 0.0950247313188 0.00758707378388 163.645490139 5.87697291114 1.33593 0.00169
4U_1728_34 92023-03-48-00 event 66.2828850708 19.0686485698 0.075924340375 0.00752800704253 168.650967379 7.34084354742 1.33835 0.00297
